Eigenvalue 0 = -3.81994
Eigenvector 0 =


Eigenvalue 20 = 1000.02
Eigenvector 20 =
 0 0 0.491301
0 1 0.00159261
0 2 0.0013969
0 4 0.0013969
0 5 0.00159261
1 1 0.303233
1 2 0.00159261
2 2 0.491301
2 3 0.00159261
2 4 0.0013969
3 3 0.303233
3 4 0.00159261
4 4 0.491301
4 5 0.00159261
5 5 0.303233


0 -3.81994
1 -3.40603
2 -3.40603
3 -2.5652
4 -2.5652
5 -1
6 -0.63522
7 0.179429
8 0.179429
9 1.04484
10 1.55866
11 1.55866
12 3.21513
13 3.21513
14 6.38626
15 1000
16 1000
17 1000
18 1000.01
19 1000.01
20 1000.02
